Date,Open,High,Low,Close,Volume
2025-01-02,780.59,787.0,771.77,778.07,1941191
2025-01-03,778.17,785.84,775.53,781.98,1799992
2025-01-06,783.715,784.765,763.35,765.1,3991077
2025-01-07,764.9,783.96,761.6202,773.29,3576092
2025-01-08,773.83,792.56,770.665,787.22,3478440
2025-01-10,791.93,800.0,784.86,799.9,3973129
2025-01-13,794.4,805.34,783.61,797.48,3683849
2025-01-14,784.225,784.225,729.0,744.91,10372975
2025-01-15,749.0,754.6,735.265,746.74,5736908
2025-01-16,747.5,765.51,746.4,757.6,3070254
2025-01-17,747.83,755.2799,725.01,725.72,5560101
2025-01-21,731.27,743.28,726.53,742.35,5122833
2025-01-22,745.575,760.37,739.05,753.98,3737751
2025-01-23,747.66,766.6,744.25,766.6,3127173
2025-01-24,761.95,789.29,760.49,785.41,4170616
2025-01-27,778.71,809.25,778.71,808.17,3915247
2025-01-28,807.24,816.15,800.11,804.99,2808766
2025-01-29,806.99,809.1199,799.0,804.08,1827645
2025-01-30,808.41,824.62,805.0,823.23,2642984
2025-01-31,823.0,827.35,811.03,811.08,2562617
2025-02-03,804.27,817.96,801.75,810.43,2808849
2025-02-04,811.05,829.04,805.935,826.07,4299729
2025-02-05,835.15,846.9,831.0558,842.18,4578885
2025-02-06,839.52,887.7368,835.61,870.37,7138547
2025-02-07,876.53,889.36,869.6186,878.31,4426107
2025-02-10,877.725,880.0,859.37,868.88,3065624
2025-02-11,867.03,874.19,860.5,865.0,1944467
2025-02-12,856.93,877.78,856.11,872.97,2533391
2025-02-13,877.07,883.4999,867.8,871.86,2472948
2025-02-14,869.1,873.4999,841.49,844.27,3222324
2025-02-18,856.42,862.73,851.36,857.2,4289381
2025-02-19,857.175,881.3268,857.175,867.05,3205482
2025-02-20,866.84,880.32,864.0,873.12,2990281
2025-02-21,880.62,894.4,873.43,873.68,3940432
2025-02-24,879.29,893.11,870.0175,881.4,3017053
2025-02-25,890.74,911.9999,890.74,901.8,5111285
2025-02-26,898.365,922.4299,896.6,915.01,3032835
2025-02-27,915.72,925.5,904.06,905.16,3085359
2025-02-28,901.84,921.22,892.6129,920.63,4071129
2025-03-03,912.8,935.625,910.0,929.72,3979760
2025-03-04,922.235,929.16,902.7901,911.06,3343495
2025-03-05,904.8,930.49,901.64,929.72,3109456
2025-03-06,920.42,931.38,898.28,912.76,3273078
2025-03-07,905.39,908.0,861.39,869.58,4818093
2025-03-10,853.91,863.19,825.78,829.76,5962920
2025-03-11,827.2,832.35,811.64,824.06,3796512
2025-03-12,814.95,834.65,813.26,821.86,3014828
2025-03-13,818.24,821.1059,795.38,801.65,3566282
2025-03-14,803.11,815.21,800.0,813.48,3102321
2025-03-17,816.95,828.9999,814.57,824.76,2546593
2025-03-18,833.42,836.29,812.615,822.51,2355028
2025-03-19,821.72,842.13,819.5,837.01,3790546
2025-03-20,839.03,854.3899,832.4647,842.57,4402727
2025-03-21,837.8,850.425,825.32,837.57,5963841
2025-03-24,845.32,866.87,837.76,864.9,3102378
2025-03-25,869.55,874.92,847.92,852.35,2670595
2025-03-26,845.69,851.41,826.4,826.76,2564074
2025-03-27,822.815,826.77,815.29,821.67,2128215
2025-03-28,820.0,829.78,817.43,822.51,2125058
2025-03-31,808.98,828.01,789.4,825.91,3737328
2025-04-01,818.6,820.66,797.0,805.23,2987721
2025-04-02,795.04,819.85,795.04,818.22,2683841
2025-04-03,810.51,818.79,787.06,789.09,2675092
